tag	DUMB42
seq_171	0.47429
seq_172	0.04886
seq_173	0.73231
seq_174	0.16368
seq_175	0.18414
seq_176	0.58522
seq_177	0.84477
seq_178	0.76627
seq_179	0.83470
seq_180	0.53488
seq_181	0.62966
seq_182	0.92146
seq_183	0.54675
seq_184	0.42915
seq_185	0.24078
seq_186	0.84197
seq_187	0.23352
seq_188	0.86503
seq_189	0.86644
seq_190	0.58819
seq_191	0.47975
seq_192	0.56059
seq_193	0.90196
seq_194	0.90345
seq_195	0.04852
seq_196	0.82739
seq_197	0.04596
seq_198	0.18811
seq_199	0.62531
seq_200	0.20426
seq_201	0.70225
seq_202	0.79161
seq_203	0.48331
seq_204	0.78122
seq_205	0.43060
seq_206	0.92941
seq_207	0.76209
seq_208	0.97259
seq_209	0.21291
seq_210	0.15759
seq_211	0.94625
seq_212	0.21351
seq_213	0.02346
seq_214	0.20242
seq_215	0.14779
seq_216	0.46595
seq_217	0.41833
seq_218	0.10713
seq_219	0.45448
seq_220	0.74830
seq_221	0.83343
seq_222	0.45236
seq_223	0.41297
seq_224	0.30115
seq_225	0.19430
seq_226	0.32611
seq_227	0.46523
seq_228	0.19996
seq_229	0.73124
seq_230	0.68391
seq_231	0.12833
seq_232	0.31998
seq_233	0.29365
seq_234	0.94527
seq_235	0.46454
seq_236	0.25190
seq_237	0.50836
seq_238	0.37770
seq_239	0.95386
seq_240	0.38021
seq_241	0.29877
seq_242	0.64479
seq_243	0.72140
seq_244	0.16541
seq_245	0.07820
seq_246	0.01133
seq_247	0.72750
seq_248	0.99442
seq_249	0.46996
seq_250	0.98733
seq_251	0.80606
seq_252	0.20972
seq_253	0.13759
seq_254	0.28071
seq_255	0.89796
seq_256	0.96711
seq_257	0.44789
seq_258	0.33439
seq_259	0.34297
seq_260	0.16510
seq_261	0.93578
seq_262	0.45852
seq_263	0.15653
seq_264	0.07399
seq_265	0.99500
seq_266	0.43378
seq_267	0.10429
seq_268	0.24399
seq_269	0.14521
seq_270	0.85423
seq_271	0.77290
seq_272	0.56030
seq_273	0.89211
seq_274	0.30032
seq_275	0.08781
seq_276	0.36004
seq_277	0.94163
seq_278	0.18241
seq_279	0.44935
seq_280	0.05380
seq_281	0.95622
seq_282	0.14763
seq_283	0.75091
seq_284	0.79634
seq_285	0.85052
seq_286	0.14884
seq_287	0.27862
seq_288	0.61454
seq_289	0.81632
seq_290	0.09333
seq_291	0.27675
seq_292	0.99596
seq_293	0.51854
seq_294	0.13341
seq_295	0.25902
seq_296	0.41172
seq_297	0.52120
seq_298	0.46218
seq_299	0.95552
seq_300	0.37875
seq_301	0.85478
seq_302	0.19848
seq_303	0.75707
seq_304	0.93567
seq_305	0.99736
seq_306	0.15566
seq_307	0.95534
seq_308	0.44644
seq_309	0.11785
seq_310	0.65401
seq_311	0.29910
seq_312	0.86043
seq_313	0.05929
seq_314	0.19681
seq_315	0.91373
seq_316	0.31113
seq_317	0.42265
seq_318	0.27931
seq_319	0.18466
seq_320	0.80633
seq_321	0.31808
seq_322	0.19396
seq_323	0.45166
seq_324	0.08232
seq_325	0.15915
seq_326	0.14424
seq_327	0.59196
seq_328	0.67233
seq_329	0.31603
seq_330	0.91085
seq_331	0.10194
seq_332	0.48523
seq_333	0.09722
seq_334	0.85977
seq_335	0.95721
seq_336	0.54990
seq_337	0.65287
seq_338	0.23834
seq_339	0.61386
seq_340	0.75873
seq_341	0.40156
seq_342	0.65138
seq_343	0.53624
seq_344	0.48000
seq_345	0.51137
seq_346	0.00814
seq_347	0.37287
seq_348	0.07268
seq_349	0.15214
seq_350	0.70383
seq_351	0.41257
seq_352	0.71177
seq_353	0.30343
seq_354	0.89952
seq_355	0.17810
seq_356	0.42778
seq_357	0.72867
seq_358	0.39904
seq_359	0.07727
seq_360	0.51474
seq_361	0.78371
seq_362	0.99998
seq_363	0.13923
seq_364	0.57732
seq_365	0.20296
seq_366	0.75784
seq_367	0.24162
seq_368	0.25072
seq_369	0.03344
seq_370	0.65160
seq_371	0.80380
seq_372	0.79212
seq_373	0.86766
seq_374	0.30763
seq_375	0.00464
seq_376	0.16275
seq_377	0.72040
seq_378	0.30598
seq_379	0.74298
seq_380	0.03209
seq_381	0.62076
seq_382	0.65128
seq_383	0.13398
seq_384	0.80357
seq_385	0.46613
seq_386	0.41303
seq_387	0.13903
seq_388	0.62318
seq_389	0.93190
seq_390	0.21662
seq_391	0.06542
seq_392	0.14145
seq_393	0.37186
seq_394	0.31841
seq_395	0.21126
seq_396	0.08213
seq_397	0.22804
seq_398	0.62384
seq_399	0.79189
seq_400	0.06356
seq_401	0.07785
seq_402	0.11382
seq_403	0.89339
seq_404	0.93004
seq_405	0.69095
seq_406	0.73818
seq_407	0.81692
seq_408	0.46564
seq_409	0.53792
seq_410	0.90804
seq_411	0.37940
seq_412	0.55777
seq_413	0.65389
seq_414	0.80768
seq_415	0.47693
seq_416	0.80645
seq_417	0.39643
seq_418	0.33813
seq_419	0.87435
seq_420	0.20203
seq_421	0.20647
seq_422	0.37474
seq_423	0.20354
seq_424	0.55885
seq_425	0.68072
seq_426	0.42464
seq_427	0.30547
seq_428	0.97211
seq_429	0.59146
seq_430	0.77975
seq_431	0.37771
seq_432	0.56775
seq_433	0.45013
seq_434	0.70439
seq_435	0.52062
seq_436	0.29931
seq_437	0.27781
seq_438	0.88679
seq_439	0.16506
seq_440	0.04137
seq_441	0.21147
seq_442	0.74509
seq_443	0.64230
seq_444	0.96888
seq_445	0.48837
seq_446	0.76732
seq_447	0.76675
seq_448	0.25387
seq_449	0.35485
seq_450	0.97579
seq_451	0.59102
seq_452	0.37005
seq_453	0.19493
seq_454	0.82845
seq_455	0.26561
seq_456	0.96436
seq_457	0.73581
seq_458	0.25886
seq_459	0.32917
seq_460	0.86267
seq_461	0.14792
seq_462	0.52762
seq_463	0.73122
seq_464	0.27762
seq_465	0.58327
seq_466	0.22490
seq_467	0.67563
seq_468	0.33372
seq_469	0.45845
seq_470	0.71115
seq_471	0.30265
seq_472	0.93049
seq_473	0.98166
seq_474	0.30867
seq_475	0.99229
seq_476	0.54701
seq_477	0.54324
seq_478	0.27436
seq_479	0.04309
seq_480	0.38635
seq_481	0.56442
seq_482	0.07734
seq_483	0.92414
seq_484	0.08564
seq_485	0.60812
seq_486	0.07634
seq_487	0.80853
seq_488	0.47817
seq_489	0.44547
seq_490	0.70776
seq_491	0.22997
seq_492	0.49289
seq_493	0.57553
seq_494	0.92607
seq_495	0.06944
seq_496	0.98498
seq_497	0.36946
seq_498	0.79787
seq_499	0.21015
seq_500	0.45555
seq_501	0.01550
seq_502	0.37364
seq_503	0.15513
seq_504	0.22651
seq_505	0.06343
seq_506	0.34950
seq_507	0.46838
seq_508	0.18852
seq_509	0.19104
seq_510	0.17793
seq_511	0.69303
seq_512	0.16318
seq_513	0.01177
seq_514	0.10830
seq_515	0.58261
seq_516	0.64873
seq_517	0.29590
seq_518	0.85562
seq_519	0.42418
seq_520	0.65246
seq_521	0.31231
seq_522	0.93790
seq_523	0.68955
seq_524	0.71696
seq_525	0.90501
seq_526	0.19210
seq_527	0.52278
seq_528	0.11954
seq_529	0.52805
seq_530	0.57828
seq_531	0.82324
seq_532	0.85481
seq_533	0.63752
seq_534	0.53156
seq_535	0.47351
seq_536	0.43016
seq_537	0.98339
seq_538	0.62254
seq_539	0.65514
seq_540	0.70682
seq_541	0.07511
seq_542	0.46603
seq_543	0.17266
seq_544	0.01000
seq_545	0.32340
seq_546	0.84961
seq_547	0.95324
seq_548	0.71259
seq_549	0.55635
seq_550	0.59390
seq_551	0.31859
seq_552	0.22881
seq_553	0.25766
seq_554	0.47315
seq_555	0.29031
seq_556	0.48129
seq_557	0.78669
seq_558	0.44933
seq_559	0.34437
seq_560	0.94154
seq_561	0.00534
seq_562	0.41177
seq_563	0.00590
seq_564	0.34007
seq_565	0.49980
seq_566	0.87600
seq_567	0.87723
seq_568	0.22232
seq_569	0.20156
seq_570	0.95994
seq_571	0.85977
seq_572	0.49671
seq_573	0.32530
seq_574	0.55140
seq_575	0.71396
seq_576	0.33966
seq_577	0.35399
seq_578	0.71310
seq_579	0.58121
seq_580	0.09616
seq_581	0.63521
seq_582	0.53276
seq_583	0.31978
seq_584	0.44808
seq_585	0.83896
seq_586	0.13121
seq_587	0.88683
seq_588	0.38053
seq_589	0.97550
seq_590	0.49745
seq_591	0.39367
seq_592	0.41911
seq_593	0.03367
seq_594	0.69168
seq_595	0.39152
seq_596	0.30442
seq_597	0.60894
seq_598	0.97928
seq_599	0.37514
seq_600	0.49883
seq_601	0.57446
seq_602	0.64963
seq_603	0.62353
seq_604	0.17493
seq_605	0.52128
seq_606	0.33864
seq_607	0.47655
seq_608	0.85622
seq_609	0.19503
seq_610	0.11613
seq_611	0.15315
seq_612	0.17315
seq_613	0.80088
seq_614	0.11296
seq_615	0.07840
seq_616	0.39382
seq_617	0.93236
seq_618	0.87338
seq_619	0.29669
seq_620	0.73943
seq_621	0.70427
seq_622	0.49426
seq_623	0.28478
seq_624	0.01579
seq_625	0.88345
seq_626	0.02660
seq_627	0.65926
seq_628	0.87933
seq_629	0.90752
seq_630	0.91301
seq_631	0.33164
seq_632	0.05999
seq_633	0.80150
seq_634	0.86867
seq_635	0.44002
seq_636	0.48318
seq_637	0.06755
seq_638	0.75319
seq_639	0.20979
seq_640	0.04779
seq_641	0.05500
seq_642	0.34474
seq_643	0.67286
seq_644	0.83052
seq_645	0.24230
seq_646	0.64267
seq_647	0.97562
seq_648	0.34049
seq_649	0.37265
seq_650	0.54835
seq_651	0.56621
seq_652	0.60944
seq_653	0.11319
seq_654	0.18848
seq_655	0.23166
seq_656	0.57052
seq_657	0.80361
seq_658	0.16853
seq_659	0.44570
seq_660	0.94908
seq_661	0.02485
seq_662	0.66065
seq_663	0.30161
seq_664	0.16116
seq_665	0.29902
seq_666	0.88877
seq_667	0.38122
seq_668	0.94088
seq_669	0.09072
seq_670	0.35076
seq_671	0.83414
seq_672	0.30317
seq_673	0.36659
seq_674	0.61492
seq_675	0.30208
seq_676	0.50065
seq_677	0.28098
seq_678	0.82026
seq_679	0.27454
seq_680	0.99854
seq_681	0.79463
seq_682	0.36492
seq_683	0.05564
seq_684	0.05680
seq_685	0.09158
seq_686	0.61088
seq_687	0.89022
seq_688	0.81488
seq_689	0.56926
seq_690	0.06318
seq_691	0.80902
seq_692	0.14668
seq_693	0.24734
seq_694	0.49877
seq_695	0.59920
seq_696	0.87075
seq_697	0.61677
seq_698	0.65843
seq_699	0.08276
seq_700	0.69062
seq_701	0.79458
seq_702	0.42612
seq_703	0.57114
seq_704	0.06776
seq_705	0.60480
seq_706	0.07252
seq_707	0.94717
seq_708	0.27556
seq_709	0.25092
seq_710	0.15850
seq_711	0.35410
seq_712	0.12594
seq_713	0.52248
seq_714	0.43736
seq_715	0.26763
seq_716	0.17104
seq_717	0.06068
seq_718	0.65888
seq_719	0.59828
seq_720	0.83822
seq_721	0.56348
seq_722	0.34043
seq_723	0.60688
seq_724	0.13221
seq_725	0.14904
seq_726	0.01000
seq_727	0.02153
seq_728	0.55264
seq_729	0.70052
seq_730	0.91752
seq_731	0.59681
seq_732	0.57415
seq_733	0.61387
seq_734	0.45505
seq_735	0.89149
seq_736	0.52217
seq_737	0.21798
seq_738	0.84350
seq_739	0.59385
seq_740	0.01892
seq_741	0.59091
seq_742	0.29879
seq_743	0.04963
seq_744	0.25359
seq_745	0.23020
seq_746	0.03260
seq_747	0.97109
seq_748	0.45148
seq_749	0.63104
seq_750	0.16036
seq_751	0.45875
seq_752	0.92842
seq_753	0.30611
seq_754	0.71977
seq_755	0.79141
seq_756	0.58742
seq_757	0.85422
seq_758	0.73819
seq_759	0.32788
seq_760	0.95750
seq_761	0.22530
seq_762	0.98104
seq_763	0.89204
seq_764	0.23470
seq_765	0.40651
seq_766	0.36548
seq_767	0.10734
seq_768	0.88722
seq_769	0.19304
seq_770	0.16741
seq_771	0.21902
seq_772	0.98135
seq_773	0.80595
seq_774	0.87557
seq_775	0.77988
seq_776	0.40728
seq_777	0.49424
seq_778	0.58320
seq_779	0.54234
seq_780	0.86494
seq_781	0.28022
seq_782	0.00727
seq_783	0.76515
seq_784	0.18145
seq_785	0.20819
seq_786	0.04584
seq_787	0.81632
seq_788	0.68718
seq_789	0.52176
seq_790	0.30588
seq_791	0.89412
seq_792	0.43635
seq_793	0.18039
seq_794	0.54716
seq_795	0.76023
seq_796	0.26867
seq_797	0.00064
seq_798	0.05294
seq_799	0.83539
seq_800	0.39716
seq_801	0.20245
seq_802	0.98073
seq_803	0.04609
seq_804	0.91227
seq_805	0.68363
seq_806	0.64379
seq_807	0.83629
seq_808	0.72500
seq_809	0.69522
seq_810	0.88827
seq_811	0.07349
seq_812	0.63101
seq_813	0.48633
seq_814	0.90223
seq_815	0.83657
seq_816	0.98155
seq_817	0.05344
seq_818	0.13435
seq_819	0.67335
seq_820	0.02547
seq_821	0.72054
seq_822	0.07149
seq_823	0.58499
seq_824	0.40535
seq_825	0.81087
seq_826	0.69708
seq_827	0.39233
seq_828	0.14153
seq_829	0.59578
seq_830	0.21555
seq_831	0.09188
seq_832	0.29762
seq_833	0.93052
seq_834	0.13896
seq_835	0.76105
seq_836	0.10680
seq_837	0.86338
seq_838	0.99014
seq_839	0.02774
seq_840	0.91001
seq_841	0.79365
seq_842	0.44303
seq_843	0.91971
seq_844	0.51314
seq_845	0.86687
seq_846	0.37321
seq_847	0.29601
seq_848	0.34356
seq_849	0.17396
seq_850	0.69396
seq_851	0.56632
seq_852	0.53725
seq_853	0.05735
seq_854	0.44642
seq_855	0.97334
seq_856	0.68439
seq_857	0.97677
seq_858	0.54308
seq_859	0.74840
seq_860	0.73300
seq_861	0.48822
seq_862	0.11436
seq_863	0.89878
seq_864	0.66788
seq_865	0.57862
seq_866	0.82149
seq_867	0.70064
seq_868	0.71916
seq_869	0.79512
seq_870	0.20957
seq_871	0.52409
seq_872	0.72097
seq_873	0.68567
seq_874	0.39738
seq_875	0.83524
seq_876	0.06453
seq_877	0.24918
seq_878	0.35037
seq_879	0.45287
seq_880	0.17201
seq_881	0.75637
seq_882	0.58093
seq_883	0.88767
seq_884	0.55820
seq_885	0.41160
seq_886	0.81144
seq_887	0.02966
seq_888	0.63780
seq_889	0.88928
seq_890	0.30406
seq_891	0.18291
seq_892	0.80852
seq_893	0.69340
seq_894	0.18983
seq_895	0.48454
seq_896	0.19164
seq_897	0.12592
seq_898	0.17119
seq_899	0.12046
seq_900	0.45741
seq_901	0.05259
seq_902	0.35938
seq_903	0.75391
seq_904	0.41917
seq_905	0.24651
seq_906	0.25298
seq_907	0.92092
seq_908	0.38261
seq_909	0.31553
seq_910	0.07725
seq_911	0.62878
seq_912	0.93367
seq_913	0.26301
seq_914	0.69341
seq_915	0.28709
seq_916	0.29397
seq_917	0.33924
seq_918	0.09504
seq_919	0.08877
seq_920	0.41596
seq_921	0.79290
seq_922	0.45380
seq_923	0.42701
seq_924	0.05721
seq_925	0.70861
seq_926	0.67655
seq_927	0.43725
seq_928	0.56944
seq_929	0.16278
seq_930	0.10838
seq_931	0.22216
seq_932	0.94888
seq_933	0.87946
seq_934	0.22043
seq_935	0.17660
seq_936	0.74129
seq_937	0.12591
seq_938	0.92035
seq_939	0.62408
seq_940	0.43174
seq_941	0.64616
seq_942	0.62364
seq_943	0.73894
seq_944	0.59385
seq_945	0.75745
seq_946	0.54979
seq_947	0.64837
seq_948	0.93672
seq_949	0.85176
seq_950	0.94401
seq_951	0.98128
seq_952	0.44443
seq_953	0.73018
seq_954	0.39131
seq_955	0.17644
seq_956	0.21090
seq_957	0.54951
seq_958	0.45424
seq_959	0.46364
seq_960	0.44651
seq_961	0.64751
seq_962	0.63016
seq_963	0.30224
seq_964	0.45777
seq_965	0.91992
seq_966	0.34586
seq_967	0.49939
seq_968	0.41042
seq_969	0.86259
seq_970	0.05268
seq_971	0.58615
seq_972	0.49984
seq_973	0.26593
seq_974	0.15888
seq_975	0.24536
seq_976	0.52444
seq_977	0.02051
seq_978	0.29149
seq_979	0.63350
seq_980	0.89883
seq_981	0.44972
seq_982	0.80504
seq_983	0.29428
seq_984	0.81915
seq_985	0.11098
seq_986	0.08231
seq_987	0.44327
seq_988	0.30857
seq_989	0.60131
seq_990	0.44245
seq_991	0.59806
seq_992	0.47585
seq_993	0.42824
seq_994	0.83400
seq_995	0.23922
seq_996	0.41058
seq_997	0.56805
seq_998	0.05075
seq_999	0.36837
seq_1000	0.91469
seq_1001	0.38744
seq_1002	0.82119
seq_1003	0.42436
seq_1004	0.70346
seq_1005	0.83621
seq_1006	0.06591
seq_1007	0.53964
seq_1008	0.64901
seq_1009	0.27021
seq_1010	0.09320
seq_1011	0.12351
seq_1012	0.31772
seq_1013	0.53614
seq_1014	0.46415
seq_1015	0.96787
seq_1016	0.09537
seq_1017	0.29850
seq_1018	0.26546
seq_1019	0.34089
seq_1020	0.37842
seq_1021	0.31247
seq_1022	0.26200
seq_1023	0.59457
seq_1024	0.60926
seq_1025	0.30630
seq_1026	0.05611
seq_1027	0.58277
seq_1028	0.45817
seq_1029	0.71979
seq_1030	0.65838
seq_1031	0.54440
seq_1032	0.11280
seq_1033	0.29800
seq_1034	0.25017
seq_1035	0.27060
seq_1036	0.55652
seq_1037	0.42312
seq_1038	0.32423
seq_1039	0.83460
seq_1040	0.49252
seq_1041	0.24485
seq_1042	0.52697
seq_1043	0.36460
seq_1044	0.33073
seq_1045	0.04727
seq_1046	0.79246
seq_1047	0.41300
seq_1048	0.24436
seq_1049	0.90033
seq_1050	0.10438
seq_1051	0.50713
seq_1052	0.07822
seq_1053	0.47715
seq_1054	0.79939
seq_1055	0.02871
seq_1056	0.93291
seq_1057	0.21564
seq_1058	0.76368
seq_1059	0.87755
seq_1060	0.96964
seq_1061	0.60330
seq_1062	0.24346
seq_1063	0.67324
seq_1064	0.35431
seq_1065	0.48742
seq_1066	0.25750
seq_1067	0.55375
seq_1068	0.86405
seq_1069	0.43198
seq_1070	0.27749
seq_1071	0.60796
seq_1072	0.18028
seq_1073	0.42771
seq_1074	0.30523
seq_1075	0.99527
seq_1076	0.83806
seq_1077	0.51907
seq_1078	0.50718
seq_1079	0.49247
seq_1080	0.18097
seq_1081	0.31987
seq_1082	0.59690
seq_1083	0.65349
seq_1084	0.46505
seq_1085	0.50564
seq_1086	0.56221
seq_1087	0.22475
seq_1088	0.11610
seq_1089	0.55648
seq_1090	0.63195
seq_1091	0.97495
seq_1092	0.38622
seq_1093	0.33739
seq_1094	0.39485
seq_1095	0.60455
seq_1096	0.69017
seq_1097	0.67036
seq_1098	0.41478
seq_1099	0.03358
seq_1100	0.01792
seq_1101	0.58040
seq_1102	0.89581
seq_1103	0.98948
seq_1104	0.92434
seq_1105	0.09799
seq_1106	0.79503
seq_1107	0.36786
seq_1108	0.85387
seq_1109	0.45695
seq_1110	0.65935
seq_1111	0.80852
seq_1112	0.13464
seq_1113	0.61146
seq_1114	0.29427
seq_1115	0.04852
seq_1116	0.98725
seq_1117	0.84934
seq_1118	0.52250
seq_1119	0.60416
seq_1120	0.03151
seq_1121	0.53833
seq_1122	0.22802
seq_1123	0.54053
seq_1124	0.62214
seq_1125	0.53298
seq_1126	0.62028
seq_1127	0.61159
seq_1128	0.46907
seq_1129	0.26413
seq_1130	0.57802
seq_1131	0.77056
seq_1132	0.76755
seq_1133	0.90228
seq_1134	0.19484
seq_1135	0.63777
seq_1136	0.66629
seq_1137	0.72697
seq_1138	0.81155
seq_1139	0.74838
seq_1140	0.30678
seq_1141	0.59909
seq_1142	0.92505
seq_1143	0.65195
seq_1144	0.96129
seq_1145	0.12886
seq_1146	0.06100
seq_1147	0.30045
seq_1148	0.33821
seq_1149	0.35667
seq_1150	0.33075
seq_1151	0.44822
seq_1152	0.69979
seq_1153	0.97641
seq_1154	0.87587
seq_1155	0.49022
seq_1156	0.58262
seq_1157	0.73462
seq_1158	0.27880
seq_1159	0.57947
seq_1160	0.60272
seq_1161	0.77861
seq_1162	0.50763
seq_1163	0.58155
seq_1164	0.22188
seq_1165	0.73552
seq_1166	0.72363
seq_1167	0.02226
seq_1168	0.27698
seq_1169	0.90872
seq_1170	0.83692
seq_1171	0.44688
seq_1172	0.39507
seq_1173	0.72063
seq_1174	0.64006
seq_1175	0.94241
seq_1176	0.62409
seq_1177	0.64233
seq_1178	0.79289
seq_1179	0.24437
seq_1180	0.57516
seq_1181	0.78326
seq_1182	0.25671
seq_1183	0.53413
seq_1184	0.66525
seq_1185	0.24760
seq_1186	0.14628
seq_1187	0.87812
seq_1188	0.52488
seq_1189	0.11028
seq_1190	0.96021
seq_1191	0.88880
seq_1192	0.09252
seq_1193	0.70802
seq_1194	0.45715
seq_1195	0.34676
seq_1196	0.34198
seq_1197	0.31954
seq_1198	0.56865
seq_1199	0.94790
seq_1200	0.46331
seq_1201	0.74406
seq_1202	0.54964
seq_1203	0.25460
seq_1204	0.37365
seq_1205	0.99262
seq_1206	0.47251
seq_1207	0.36760
seq_1208	0.55557
seq_1209	0.51588
seq_1210	0.05194
seq_1211	0.21920
seq_1212	0.14760
seq_1213	0.12495
seq_1214	0.94633
seq_1215	0.02185
seq_1216	0.78726
seq_1217	0.87626
seq_1218	0.01196
seq_1219	0.89943
seq_1220	0.52343
seq_1221	0.60129
seq_1222	0.34385
seq_1223	0.51155
seq_1224	0.84046
seq_1225	0.05616
seq_1226	0.03671
seq_1227	0.75107
seq_1228	0.24732
seq_1229	0.99675
seq_1230	0.27751
seq_1231	0.94384
seq_1232	0.57485
seq_1233	0.06785
seq_1234	0.86372
seq_1235	0.27230
seq_1236	0.66154
seq_1237	0.57256
seq_1238	0.87394
seq_1239	0.20332
seq_1240	0.50107
seq_1241	0.68657
seq_1242	0.36847
seq_1243	0.16204
seq_1244	0.62799
seq_1245	0.62341
seq_1246	0.60878
seq_1247	0.16531
seq_1248	0.43825
seq_1249	0.37464
seq_1250	0.10118
seq_1251	0.40562
seq_1252	0.25832
seq_1253	0.85901
seq_1254	0.45643
seq_1255	0.81664
seq_1256	0.06629
seq_1257	0.90211
seq_1258	0.12062
seq_1259	0.23679
seq_1260	0.41602
seq_1261	0.47459
seq_1262	0.39528
seq_1263	0.40304
seq_1264	0.16647
seq_1265	0.30302
seq_1266	0.76412
seq_1267	0.61908
seq_1268	0.05318
seq_1269	0.37875
seq_1270	0.75178
seq_1271	0.53460
seq_1272	0.64113
seq_1273	0.42664
seq_1274	0.87848
seq_1275	0.53817
seq_1276	0.79512
seq_1277	0.37468
seq_1278	0.74202
seq_1279	0.75457
seq_1280	0.32363
seq_1281	0.12011
seq_1282	0.80172
seq_1283	0.19757
seq_1284	0.05765
seq_1285	0.01060
seq_1286	0.97601
seq_1287	0.92687
seq_1288	0.90659
seq_1289	0.77581
seq_1290	0.83570
seq_1291	0.61342
seq_1292	0.15515
seq_1293	0.22634
seq_1294	0.99425
seq_1295	0.42423
seq_1296	0.22556
seq_1297	0.97110
seq_1298	0.23488
seq_1299	0.26855
seq_1300	0.91295
seq_1301	0.33091
seq_1302	0.27085
seq_1303	0.29546
seq_1304	0.20815
seq_1305	0.60616
seq_1306	0.43337
seq_1307	0.17673
seq_1308	0.87863
seq_1309	0.87546
seq_1310	0.58975
seq_1311	0.59989
seq_1312	0.17690
seq_1313	0.59930
seq_1314	0.25682
seq_1315	0.32608
seq_1316	0.32469
seq_1317	0.54848
seq_1318	0.83908
seq_1319	0.68072
seq_1320	0.14236
seq_1321	0.81598
seq_1322	0.50612
seq_1323	0.57903
seq_1324	0.23923
seq_1325	0.53459
seq_1326	0.84902
seq_1327	0.83099
seq_1328	0.34442
seq_1329	0.71125
seq_1330	0.63099
seq_1331	0.06105
seq_1332	0.12090
seq_1333	0.17858
seq_1334	0.74126
seq_1335	0.76851
seq_1336	0.78149
seq_1337	0.31853
seq_1338	0.24104
seq_1339	0.52983
seq_1340	0.04409
seq_1341	0.69186
seq_1342	0.63894
seq_1343	0.46448
seq_1344	0.85260
seq_1345	0.98576
seq_1346	0.31385
seq_1347	0.82306
seq_1348	0.89014
seq_1349	0.80507
seq_1350	0.58490
seq_1351	0.48843
seq_1352	0.28134
seq_1353	0.30029
seq_1354	0.58221
seq_1355	0.39916
seq_1356	0.79154
seq_1357	0.94056
seq_1358	0.65939
seq_1359	0.41375
seq_1360	0.07875
seq_1361	0.16822
