tag	dumb_foreign	dumb_shades
seq_172	0.67813	0.44037
seq_173	0.36609	0.56089
seq_174	0.55848	0.25488
seq_175	0.02728	0.68368
seq_176	0.68496	0.96626
seq_177	0.33938	0.46765
seq_178	0.10822	0.60089
seq_179	0.92512	0.31699
seq_180	0.00282	0.10794
seq_181	0.45861	0.03326
seq_182	0.76899	0.09836
seq_183	0.72443	0.62577
seq_184	0.12838	0.57525
seq_185	0.94077	0.24633
seq_186	0.26604	0.56672
seq_187	0.83120	0.66610
seq_188	0.63753	0.79242
seq_189	0.73546	0.50914
seq_190	0.81122	0.80094
seq_191	0.70406	0.31795
seq_192	0.65941	0.21759
seq_193	0.39982	0.29077
seq_194	0.82190	0.97495
seq_195	0.68471	0.21117
seq_196	0.98455	0.11240
seq_197	0.72829	0.94345
seq_198	0.74922	0.07703
seq_199	0.58336	0.54251
seq_200	0.63477	0.40754
seq_201	0.32927	0.20367
seq_202	0.01621	0.01718
seq_203	0.63368	0.61308
seq_204	0.49314	0.78087
seq_205	0.98923	0.96431
seq_206	0.55149	0.29046
seq_207	0.94443	0.38445
seq_208	0.92860	0.40907
seq_209	0.67785	0.10928
seq_210	0.02391	0.96009
seq_211	0.34305	0.60827
seq_212	0.75454	0.79000
seq_213	0.99088	0.35740
seq_214	0.19811	0.91171
seq_215	0.98964	0.41448
seq_216	0.60203	0.48987
seq_217	0.82041	0.20808
seq_218	0.31499	0.97087
seq_219	0.07784	0.78254
seq_220	0.23384	0.40785
seq_221	0.96583	0.96757
seq_222	0.91529	0.06428
seq_223	0.61925	0.89706
seq_224	0.42902	0.56245
seq_225	0.85404	0.74091
seq_226	0.16739	0.53883
seq_227	0.26050	0.15659
seq_228	0.23850	0.05384
seq_229	0.22267	0.43920
seq_230	0.99129	0.80892
seq_231	0.18638	0.24563
seq_232	0.40471	0.72978
seq_233	0.22239	0.77489
seq_234	0.22472	0.25314
seq_235	0.76333	0.94189
seq_236	0.50884	0.92249
seq_237	0.89981	0.55438
seq_238	0.92480	0.70399
seq_239	0.17626	0.20411
seq_240	0.89509	0.93893
seq_241	0.43430	0.03866
seq_242	0.97490	0.28005
seq_243	0.77691	0.97883
seq_244	0.42807	0.30118
seq_245	0.18417	0.87060
seq_246	0.47615	0.56664
seq_247	0.99536	0.45934
seq_248	0.98051	0.89842
seq_249	0.47352	0.40402
seq_250	0.02480	0.14698
seq_251	0.71069	0.52338
seq_252	0.49468	0.18774
seq_253	0.01722	0.26655
seq_254	0.01974	0.76915
seq_255	0.65504	0.18353
seq_256	0.45172	0.72274
seq_257	0.31017	0.57249
seq_258	0.93160	0.94986
seq_259	0.56486	0.45184
seq_260	0.00387	0.51331
seq_261	0.99720	0.68238
seq_262	0.81472	0.48062
seq_263	0.16017	0.75412
seq_264	0.02824	0.39470
seq_265	0.73974	0.39995
seq_266	0.12493	0.96673
seq_267	0.52564	0.73789
seq_268	0.74461	0.09452
seq_269	0.73737	0.59535
seq_270	0.16126	0.17419
seq_271	0.74517	0.89442
seq_272	0.46426	0.44515
seq_273	0.67522	0.25221
seq_274	0.08126	0.55526
seq_275	0.70269	0.20005
seq_276	0.24840	0.14550
seq_277	0.20090	0.50311
seq_278	0.34672	0.93410
seq_279	0.79932	0.45526
seq_280	0.64135	0.06656
seq_281	0.58288	0.98787
seq_282	0.99091	0.35109
seq_283	0.06006	0.56908
seq_284	0.05664	0.64800
seq_285	0.03427	0.35682
seq_286	0.35035	0.08982
seq_287	0.78652	0.38796
seq_288	0.36304	0.55484
seq_289	0.00118	0.47698
seq_290	0.77486	0.68546
seq_291	0.36340	0.90439
seq_292	0.90889	0.71744
seq_293	0.80998	0.92027
seq_294	0.20694	0.68786
seq_295	0.03104	0.49054
seq_296	0.78578	0.46908
seq_297	0.26386	0.56862
seq_298	0.37934	0.95781
seq_299	0.20342	0.10623
seq_300	0.82970	0.19080
seq_301	0.32817	0.34798
seq_302	0.56316	0.25732
seq_303	0.25569	0.97002
seq_304	0.69833	0.72346
seq_305	0.93106	0.08795
seq_306	0.67829	0.38642
seq_307	0.86474	0.84790
seq_308	0.62312	0.76987
seq_309	0.10491	0.19852
seq_310	0.90906	0.54675
seq_311	0.17408	0.30003
seq_312	0.17458	0.21696
seq_313	0.55400	0.74004
seq_314	0.85884	0.68973
seq_315	0.12034	0.57694
seq_316	0.71757	0.15073
seq_317	0.42226	0.14117
seq_318	0.15946	0.13479
seq_319	0.34422	0.33969
seq_320	0.94279	0.88582
seq_321	0.16006	0.04594
seq_322	0.68237	0.86982
seq_323	0.43513	0.34809
seq_324	0.86130	0.22608
seq_325	0.54013	0.42953
seq_326	0.86528	0.46035
seq_327	0.21203	0.23960
seq_328	0.89553	0.46072
seq_329	0.11025	0.37315
seq_330	0.79780	0.10527
seq_331	0.23623	0.00367
seq_332	0.02470	0.04180
seq_333	0.94259	0.80470
seq_334	0.16151	0.40757
seq_335	0.72692	0.00331
seq_336	0.29101	0.18369
seq_337	0.66403	0.42442
seq_338	0.73245	0.66881
seq_339	0.40292	0.23753
seq_340	0.32716	0.50909
seq_341	0.70254	0.55115
seq_342	0.15983	0.90521
seq_343	0.39946	0.98053
seq_344	0.14272	0.57114
seq_345	0.02682	0.29007
seq_346	0.79853	0.69826
seq_347	0.68947	0.01199
seq_348	0.16706	0.77380
seq_349	0.82891	0.73638
seq_350	0.34940	0.54570
seq_351	0.72792	0.21746
seq_352	0.20953	0.55721
seq_353	0.23719	0.55926
seq_354	0.33536	0.20862
seq_355	0.36553	0.01047
seq_356	0.08591	0.08207
seq_357	0.69957	0.60688
seq_358	0.16190	0.03082
seq_359	0.81937	0.00838
seq_360	0.31743	0.12641
seq_361	0.00595	0.70026
seq_362	0.56168	0.14010
seq_363	0.16735	0.22412
seq_364	0.86553	0.58186
seq_365	0.08548	0.34345
seq_366	0.26533	0.99023
seq_367	0.16616	0.53607
seq_368	0.10264	0.44921
seq_369	0.08561	0.58779
seq_370	0.76797	0.91984
seq_371	0.01503	0.90518
seq_372	0.52066	0.57722
seq_373	0.51694	0.08514
seq_374	0.06862	0.34476
seq_375	0.59760	0.73428
seq_376	0.74630	0.67597
seq_377	0.30458	0.10424
seq_378	0.76071	0.97709
seq_379	0.19086	0.23033
seq_380	0.32131	0.55570
seq_381	0.92626	0.65715
seq_382	0.91962	0.73088
seq_383	0.85135	0.16515
seq_384	0.14650	0.13511
seq_385	0.18803	0.05885
seq_386	0.93917	0.65767
seq_387	0.22755	0.53422
seq_388	0.35064	0.80487
seq_389	0.35348	0.48019
seq_390	0.16750	0.00054
seq_391	0.24226	0.29473
seq_392	0.15628	0.94454
seq_393	0.77784	0.25908
seq_394	0.37243	0.42700
seq_395	0.35242	0.93857
seq_396	0.02262	0.09386
seq_397	0.27734	0.74079
seq_398	0.47776	0.42058
seq_399	0.06779	0.13278
seq_400	0.67288	0.11583
seq_401	0.71236	0.64865
seq_402	0.92195	0.95649
seq_403	0.21637	0.96978
seq_404	0.05253	0.18414
seq_405	0.90343	0.10080
seq_406	0.31181	0.52924
seq_407	0.67681	0.20559
seq_408	0.28649	0.48377
seq_409	0.84162	0.58315
seq_410	0.45620	0.26612
seq_411	0.87043	0.04693
seq_412	0.39446	0.65556
seq_413	0.10995	0.16936
seq_414	0.14277	0.49142
seq_415	0.19135	0.82936
seq_416	0.80340	0.60974
seq_417	0.38373	0.58077
seq_418	0.66657	0.44038
seq_419	0.58580	0.10603
seq_420	0.43350	0.73581
seq_421	0.07013	0.71380
seq_422	0.40008	0.01733
seq_423	0.22372	0.21441
seq_424	0.28837	0.44131
seq_425	0.77787	0.21339
seq_426	0.54120	0.80431
seq_427	0.99475	0.65464
seq_428	0.60459	0.21379
seq_429	0.99674	0.11315
seq_430	0.32607	0.52173
seq_431	0.50701	0.74379
seq_432	0.74164	0.77519
seq_433	0.49522	0.23120
seq_434	0.08352	0.28511
seq_435	0.60312	0.22186
seq_436	0.80366	0.03361
seq_437	0.95403	0.02274
seq_438	0.69565	0.83726
seq_439	0.91002	0.31686
seq_440	0.70450	0.27220
seq_441	0.61243	0.52112
seq_442	0.51255	0.00016
seq_443	0.52358	0.02789
seq_444	0.96334	0.33270
seq_445	0.90399	0.65207
seq_446	0.58738	0.23456
seq_447	0.59214	0.83437
seq_448	0.20696	0.47376
seq_449	0.39401	0.50158
seq_450	0.13660	0.29996
seq_451	0.47891	0.05141
seq_452	0.94924	0.19134
seq_453	0.52476	0.81208
seq_454	0.59532	0.93597
seq_455	0.42635	0.52802
seq_456	0.99509	0.51017
seq_457	0.30539	0.52611
seq_458	0.97089	0.44929
seq_459	0.30053	0.29530
seq_460	0.68714	0.41096
seq_461	0.48960	0.57623
seq_462	0.21847	0.24154
seq_463	0.85227	0.66317
seq_464	0.15312	0.73587
seq_465	0.47885	0.31100
seq_466	0.18795	0.17512
seq_467	0.65311	0.95132
seq_468	0.26105	0.89541
seq_469	0.53673	0.60929
seq_470	0.73069	0.59733
seq_471	0.83571	0.90376
seq_472	0.62463	0.65697
seq_473	0.60830	0.57555
seq_474	0.86561	0.98356
seq_475	0.12572	0.89454
seq_476	0.07872	0.56689
seq_477	0.59730	0.73245
seq_478	0.07683	0.89028
seq_479	0.69540	0.01310
seq_480	0.32045	0.36414
seq_481	0.66832	0.81168
seq_482	0.22358	0.78416
seq_483	0.21768	0.09661
seq_484	0.11096	0.07020
seq_485	0.46064	0.11456
seq_486	0.22502	0.27188
seq_487	0.40018	0.55093
seq_488	0.73238	0.30281
seq_489	0.95887	0.22619
seq_490	0.42050	0.52399
seq_491	0.24827	0.18262
seq_492	0.04954	0.11441
seq_493	0.47421	0.42720
seq_494	0.61160	0.06004
seq_495	0.51222	0.55774
seq_496	0.35459	0.33797
seq_497	0.91412	0.57297
seq_498	0.03224	0.35450
seq_499	0.13232	0.56171
seq_500	0.57602	0.22409
seq_501	0.47449	0.77647
seq_502	0.20759	0.19792
seq_503	0.95562	0.89697
seq_504	0.44814	0.02208
seq_505	0.11153	0.81222
seq_506	0.99156	0.90154
seq_507	0.87593	0.38439
seq_508	0.19261	0.25161
seq_509	0.99292	0.04149
seq_510	0.13747	0.26983
seq_511	0.80318	0.52052
seq_512	0.89977	0.96355
seq_513	0.31477	0.68422
seq_514	0.87438	0.99840
seq_515	0.30451	0.34617
seq_516	0.86552	0.58485
seq_517	0.46589	0.67574
seq_518	0.48238	0.75385
seq_519	0.38640	0.52442
seq_520	0.04175	0.63436
seq_521	0.03028	0.09838
seq_522	0.72691	0.60091
seq_523	0.44030	0.25175
seq_524	0.37535	0.59623
seq_525	0.15082	0.10507
seq_526	0.22299	0.15774
seq_527	0.06338	0.60126
seq_528	0.80583	0.13940
seq_529	0.75322	0.93755
seq_530	0.15363	0.84323
seq_531	0.67535	0.58294
seq_532	0.79379	0.34961
seq_533	0.37709	0.24284
seq_534	0.43311	0.40895
seq_535	0.07266	0.48337
seq_536	0.87188	0.50260
seq_537	0.59395	0.40807
seq_538	0.91613	0.24516
seq_539	0.09704	0.07094
seq_540	0.16209	0.30582
seq_541	0.63616	0.58232
seq_542	0.65284	0.87976
seq_543	0.06604	0.15754
seq_544	0.74280	0.46870
seq_545	0.18617	0.06663
seq_546	0.14282	0.57185
seq_547	0.15175	0.66821
seq_548	0.89974	0.92702
seq_549	0.62786	0.27763
seq_550	0.15951	0.89134
seq_551	0.89283	0.57221
seq_552	0.36367	0.68686
seq_553	0.93584	0.50407
seq_554	0.55565	0.78008
seq_555	0.49877	0.23566
seq_556	0.90357	0.68663
seq_557	0.55061	0.40116
seq_558	0.44268	0.48481
seq_559	0.67928	0.01255
seq_560	0.10227	0.66213
seq_561	0.59189	0.70874
seq_562	0.29517	0.78792
seq_563	0.53814	0.67527
seq_564	0.67561	0.24924
seq_565	0.76588	0.86043
seq_566	0.24578	0.38997
seq_567	0.15896	0.37596
seq_568	0.07806	0.83950
seq_569	0.05649	0.89435
seq_570	0.01839	0.23136
seq_571	0.19841	0.65545
seq_572	0.44626	0.53021
seq_573	0.26045	0.33839
seq_574	0.68497	0.35251
seq_575	0.28912	0.54247
seq_576	0.67848	0.27680
seq_577	0.63155	0.84839
seq_578	0.58086	0.73687
seq_579	0.87982	0.89969
seq_580	0.85757	0.13937
seq_581	0.18452	0.62115
seq_582	0.96263	0.89659
seq_583	0.23144	0.21064
seq_584	0.73965	0.93259
seq_585	0.51512	0.88414
seq_586	0.34357	0.40734
seq_587	0.16316	0.69959
seq_588	0.96558	0.67422
seq_589	0.72004	0.47511
seq_590	0.31130	0.93289
seq_591	0.90743	0.09060
seq_592	0.86097	0.54574
seq_593	0.72220	0.49242
seq_594	0.54147	0.38809
seq_595	0.89760	0.06758
seq_596	0.41312	0.54780
seq_597	0.57609	0.25440
seq_598	0.56713	0.53225
seq_599	0.57995	0.31153
seq_600	0.12991	0.81433
seq_601	0.72426	0.38792
seq_602	0.05351	0.95085
seq_603	0.61573	0.01819
seq_604	0.78868	0.46145
seq_605	0.92474	0.13047
seq_606	0.59404	0.42066
seq_607	0.38480	0.76191
seq_608	0.24665	0.25097
seq_609	0.17800	0.12507
seq_610	0.70246	0.94794
seq_611	0.24661	0.59105
seq_612	0.57529	0.29441
seq_613	0.05999	0.35241
seq_614	0.08715	0.05019
seq_615	0.42612	0.93581
seq_616	0.02814	0.92035
seq_617	0.44072	0.77837
seq_618	0.00686	0.00397
seq_619	0.83226	0.85729
seq_620	0.76473	0.27180
seq_621	0.36599	0.65947
seq_622	0.63440	0.13924
seq_623	0.54765	0.80500
seq_624	0.50361	0.01299
seq_625	0.46944	0.84962
seq_626	0.09795	0.66587
seq_627	0.66277	0.01784
seq_628	0.92124	0.70830
seq_629	0.43211	0.48423
seq_630	0.69646	0.84050
seq_631	0.55863	0.32794
seq_632	0.59099	0.24535
seq_633	0.00291	0.04650
seq_634	0.08097	0.78762
seq_635	0.21508	0.12661
seq_636	0.14604	0.30989
seq_637	0.82191	0.83081
seq_638	0.46373	0.61821
seq_639	0.14537	0.02411
seq_640	0.52489	0.96485
seq_641	0.73376	0.69562
seq_642	0.89181	0.20733
seq_643	0.00738	0.24905
seq_644	0.20222	0.08442
seq_645	0.36002	0.27090
seq_646	0.49766	0.14948
seq_647	0.76372	0.92181
seq_648	0.63696	0.31398
seq_649	0.52447	0.53054
seq_650	0.49550	0.57341
seq_651	0.16212	0.43604
seq_652	0.78733	0.74255
seq_653	0.14346	0.46639
seq_654	0.17595	0.73563
seq_655	0.55743	0.98544
seq_656	0.03219	0.53210
seq_657	0.37924	0.42288
seq_658	0.73899	0.71717
seq_659	0.85756	0.21387
seq_660	0.36036	0.16285
seq_661	0.65676	0.80837
seq_662	0.29163	0.75299
seq_663	0.36857	0.80507
seq_664	0.11266	0.24640
seq_665	0.09061	0.19602
seq_666	0.31755	0.63339
seq_667	0.39632	0.70481
seq_668	0.79754	0.22212
seq_669	0.78131	0.87606
seq_670	0.65824	0.21498
seq_671	0.33406	0.37254
seq_672	0.64182	0.10177
seq_673	0.69140	0.12821
seq_674	0.89522	0.95129
seq_675	0.18570	0.79113
seq_676	0.93019	0.69292
seq_677	0.32340	0.44370
seq_678	0.93728	0.32935
seq_679	0.65553	0.15197
seq_680	0.34021	0.36632
seq_681	0.54566	0.94682
seq_682	0.90684	0.14966
seq_683	0.73547	0.78894
seq_684	0.87723	0.34876
seq_685	0.28440	0.21013
seq_686	0.70951	0.93402
seq_687	0.46576	0.06358
seq_688	0.73961	0.90503
seq_689	0.44273	0.31356
seq_690	0.06827	0.44070
seq_691	0.92265	0.61406
seq_692	0.04289	0.48531
seq_693	0.66124	0.40362
seq_694	0.86398	0.95066
seq_695	0.37900	0.92331
seq_696	0.81361	0.79742
seq_697	0.68683	0.03184
seq_698	0.22749	0.13602
seq_699	0.54328	0.65457
seq_700	0.13982	0.97899
seq_701	0.88154	0.02137
seq_702	0.61446	0.56086
seq_703	0.69711	0.71280
seq_704	0.29132	0.86621
seq_705	0.45355	0.61857
seq_706	0.14297	0.46772
seq_707	0.60724	0.50794
seq_708	0.44747	0.48606
seq_709	0.46882	0.87629
seq_710	0.70341	0.78591
seq_711	0.99528	0.70444
seq_712	0.06632	0.36568
seq_713	0.76588	0.80110
seq_714	0.24140	0.00426
seq_715	0.27592	0.30305
seq_716	0.24540	0.55848
seq_717	0.38941	0.01117
seq_718	0.42011	0.92082
seq_719	0.58146	0.01511
seq_720	0.45377	0.08634
seq_721	0.50405	0.79423
seq_722	0.88797	0.67798
seq_723	0.73135	0.27949
seq_724	0.01916	0.91348
seq_725	0.05450	0.97919
seq_726	0.84899	0.96388
seq_727	0.30587	0.79695
seq_728	0.23234	0.53280
seq_729	0.30035	0.97035
seq_730	0.71676	0.68684
seq_731	0.81920	0.55969
seq_732	0.16095	0.41764
seq_733	0.76613	0.78366
seq_734	0.12206	0.56991
seq_735	0.78258	0.79284
seq_736	0.95887	0.61394
seq_737	0.25787	0.97008
seq_738	0.47719	0.18714
seq_739	0.21391	0.77709
seq_740	0.87663	0.27686
seq_741	0.96184	0.06167
seq_742	0.80908	0.53069
seq_743	0.80310	0.42796
seq_744	0.38459	0.34913
seq_745	0.92732	0.63753
seq_746	0.73378	0.21431
seq_747	0.64780	0.87563
seq_748	0.31498	0.13692
seq_749	0.18615	0.53375
seq_750	0.48171	0.12174
seq_751	0.77745	0.70554
seq_752	0.85994	0.68983
seq_753	0.99197	0.04564
seq_754	0.38601	0.67090
seq_755	0.41617	0.38760
seq_756	0.21488	0.56688
seq_757	0.47511	0.22229
seq_758	0.22897	0.81120
seq_759	0.48840	0.54095
seq_760	0.65176	0.15274
seq_761	0.30105	0.64148
seq_762	0.41454	0.55204
seq_763	0.56963	0.13279
seq_764	0.10933	0.87687
seq_765	0.34030	0.26265
seq_766	0.02929	0.10477
seq_767	0.80038	0.76776
seq_768	0.87787	0.62237
seq_769	0.21250	0.11387
seq_770	0.42683	0.13857
seq_771	0.96355	0.42478
seq_772	0.20587	0.39047
seq_773	0.31522	0.99324
seq_774	0.11313	0.01780
seq_775	0.68224	0.49022
seq_776	0.01553	0.64129
seq_777	0.17898	0.10481
seq_778	0.76964	0.31878
seq_779	0.19141	0.50570
seq_780	0.85432	0.06125
seq_781	0.19807	0.38075
seq_782	0.89836	0.98557
seq_783	0.25105	0.05766
seq_784	0.62934	0.74540
seq_785	0.78580	0.25959
seq_786	0.53915	0.25683
seq_787	0.80957	0.13103
seq_788	0.96158	0.58842
seq_789	0.32579	0.91172
seq_790	0.54172	0.04130
seq_791	0.45285	0.22967
seq_792	0.21014	0.44032
seq_793	0.28360	0.78322
seq_794	0.21491	0.63681
seq_795	0.33505	0.00914
seq_796	0.55349	0.18415
seq_797	0.49079	0.72884
seq_798	0.80222	0.34022
seq_799	0.80205	0.24543
seq_800	0.19498	0.60911
seq_801	0.67513	0.96963
seq_802	0.26422	0.76680
seq_803	0.47741	0.56221
seq_804	0.64577	0.66764
seq_805	0.05340	0.40603
seq_806	0.87100	0.40248
seq_807	0.32233	0.10622
seq_808	0.10517	0.33369
seq_809	0.60297	0.66590
seq_810	0.02263	0.18223
seq_811	0.41476	0.71452
seq_812	0.74401	0.87928
seq_813	0.27724	0.96125
seq_814	0.46633	0.59359
seq_815	0.21096	0.60501
seq_816	0.71720	0.15463
seq_817	0.11455	0.74868
seq_818	0.32525	0.36816
seq_819	0.12612	0.49801
seq_820	0.61806	0.72541
seq_821	0.71470	0.81436
seq_822	0.32299	0.81138
seq_823	0.31658	0.94861
seq_824	0.06168	0.17433
seq_825	0.56183	0.84677
seq_826	0.15948	0.96938
seq_827	0.83249	0.00822
seq_828	0.86907	0.21676
seq_829	0.81182	0.74781
seq_830	0.64172	0.63376
seq_831	0.68455	0.57253
seq_832	0.78810	0.34459
seq_833	0.03887	0.93427
seq_834	0.68998	0.14751
seq_835	0.90475	0.50086
seq_836	0.16077	0.87188
seq_837	0.48671	0.93558
seq_838	0.37108	0.49136
seq_839	0.56365	0.66999
seq_840	0.17066	0.38847
seq_841	0.13771	0.31122
seq_842	0.54238	0.45421
seq_843	0.23285	0.99319
seq_844	0.97645	0.52523
seq_845	0.51993	0.09459
seq_846	0.95318	0.67685
seq_847	0.50427	0.25232
seq_848	0.60008	0.33620
seq_849	0.21467	0.53563
seq_850	0.08160	0.13405
seq_851	0.90269	0.67358
seq_852	0.18406	0.90549
seq_853	0.27815	0.15589
seq_854	0.20033	0.94357
seq_855	0.84624	0.74409
seq_856	0.45838	0.08698
seq_857	0.97429	0.21972
seq_858	0.15227	0.10339
seq_859	0.30018	0.39759
seq_860	0.54392	0.62159
seq_861	0.27251	0.02893
seq_862	0.32844	0.32804
seq_863	0.91559	0.50580
seq_864	0.75956	0.97790
seq_865	0.80903	0.09781
seq_866	0.79398	0.56871
seq_867	0.97394	0.08849
seq_868	0.38956	0.76072
seq_869	0.87743	0.93036
seq_870	0.18380	0.15338
seq_871	0.91032	0.37492
seq_872	0.09902	0.25053
seq_873	0.19131	0.99533
seq_874	0.68517	0.27498
seq_875	0.98163	0.80521
seq_876	0.95822	0.06675
seq_877	0.05803	0.24842
seq_878	0.23381	0.33702
seq_879	0.42994	0.02376
seq_880	0.41125	0.68908
seq_881	0.29923	0.56224
seq_882	0.39894	0.13382
seq_883	0.92123	0.69344
seq_884	0.47104	0.70470
seq_885	0.48355	0.71557
seq_886	0.77882	0.75248
seq_887	0.90937	0.27174
seq_888	0.31417	0.80582
seq_889	0.64736	0.61287
seq_890	0.75750	0.67154
seq_891	0.07983	0.72301
seq_892	0.56146	0.27394
seq_893	0.99569	0.63268
seq_894	0.66440	0.32944
seq_895	0.47596	0.09915
seq_896	0.36660	0.01421
seq_897	0.13035	0.05556
seq_898	0.26547	0.77387
seq_899	0.78716	0.97411
seq_900	0.29241	0.52921
seq_901	0.70033	0.00966
seq_902	0.79019	0.46342
seq_903	0.27312	0.42749
seq_904	0.00544	0.49218
seq_905	0.99619	0.03425
seq_906	0.28237	0.53701
seq_907	0.15380	0.01128
seq_908	0.93503	0.22061
seq_909	0.49286	0.65823
seq_910	0.62182	0.24613
seq_911	0.76053	0.23878
seq_912	0.28178	0.39630
seq_913	0.05894	0.87833
seq_914	0.07693	0.38306
seq_915	0.58300	0.13264
seq_916	0.07507	0.51360
seq_917	0.37494	0.80305
seq_918	0.37564	0.46808
seq_919	0.27545	0.18265
seq_920	0.73308	0.84309
seq_921	0.40916	0.00789
seq_922	0.29755	0.91161
seq_923	0.09763	0.15661
seq_924	0.36998	0.26983
seq_925	0.77447	0.47706
seq_926	0.97987	0.16628
seq_927	0.53335	0.97674
seq_928	0.23004	0.05433
seq_929	0.63187	0.98510
